home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,past_perf_home,past_perf_away,home_player_avg,away_player_avg
HUE,ESP,2008/2009,2,9/14/08 0:00,0,1,71.82352941,67.89655172,74,71.15789474,64.6,74.18181818,69.36842105,75.83333333,68.875,71.43243243,71.92307692,78.22727273,73.05555556,75.33333333,75.64285714,64,70.57142857,72.76,68.61111111,79.5,74.125,72.9047619,1,1,39354.27273,30493.90909
MAL,BIL,2008/2009,2,9/14/08 0:00,0,0,68.28571429,75.85185185,68.33333333,74.60869565,72.22222222,67.85714286,64.64705882,74.10714286,74,70.375,65.5,76.92,77.76666667,74.2,76.1875,73.08695652,77.38461538,75.33333333,81.2,71.26315789,80.61904762,79.16666667,0,1,40498.45455,58597.45455
ALM,VAL,2008/2009,2,9/14/08 0:00,2,2,79.38095238,69.02941176,73.88888889,69.22222222,69.66666667,70,69.96153846,69.75,68.84615385,76.71428571,81.27027027,72.33333333,77.75,80.73076923,76.16666667,74.96296296,78.25,77.33333333,80.42105263,76.31818182,83.58823529,84.29166667,3,1,45878.90909,28219.90909
MAL,OSA,2008/2009,2,9/14/08 0:00,1,1,76.08695652,70.71428571,75.44444444,74.875,68.23076923,71.77777778,76.91304348,76.08,76.64705882,79.16,75.08695652,74,75.07692308,69.57142857,72.22222222,76.21212121,75.63636364,73.42857143,77.94444444,74.79310345,72.66666667,70.48,0,1,32564.45455,32774.18182
ESP,GET,2008/2009,3,9/20/08 0:00,1,1,78.22727273,73.05555556,75.33333333,75.64285714,64,72.76,70.57142857,68.61111111,77.63636364,74.125,72.9047619,69.27777778,70.75,73.72222222,77.65625,68.36,71.36842105,74.8,73,75.25,72.82608696,74.51851852,1,1,30917.81818,37799
AMA,HUE,2008/2009,3,9/20/08 0:00,4,0,81.16666667,73.18181818,79,75.76190476,71.93333333,77.96875,78.37037037,79.22222222,79.3125,72.15789474,86.11428571,71.82352941,0,74,71.15789474,64.6,74.18181818,75.83333333,69.36842105,68.875,71.43243243,71.92307692,2.5,0.5,31794.63636,
SPG,BAR,2008/2009,3,9/21/08 0:00,1,6,69,66.11111111,67.55555556,64.66666667,65.58333333,68,64.85,66.08333333,71.1,74.52631579,70.71428571,83.63636364,84.2,76.42857143,85.88888889,79.52631579,87.63636364,78.38461538,81.44,92.19230769,83.77777778,88.32,2,0.5,49709.45455,40332.81818
NUM,VIL,2008/2009,3,9/21/08 0:00,1,2,71.14285714,66.92307692,0,68.5,69.05555556,66.52941176,0,67.14285714,65.5,74.03846154,70.2,81.24,70.71428571,79.47368421,80.13636364,73.80952381,83.28205128,71.78947368,79.76923077,77.53846154,73.4,75,2,1,,35593.90909
COR,MAL,2008/2009,3,9/21/08 0:00,0,0,76.625,70.6,74.77272727,73.10526316,79.66666667,67.19047619,70.71428571,66.80769231,76.77272727,79.17647059,70.87096774,76.08695652,71.52941176,74.875,75.44444444,69.30769231,76.91304348,72.82352941,71.77777778,72,76.3,79.16,1,0.333333333,39492.18182,30586.81818
VAL,OSA,2008/2009,3,9/21/08 0:00,1,0,72.33333333,77.75,80.73076923,76.16666667,74.96296296,76.42857143,78.25,80.42105263,84.29166667,83.58823529,80.2,74,75.07692308,69.57142857,73.55,76.21212121,75.63636364,67.42307692,63.3,69.72222222,74.79310345,71.14285714,1.333333333,1,30755.27273,36243.45455
BET,SEV,2008/2009,3,9/21/08 0:00,0,0,69.91304348,71.18181818,68.11111111,75.88888889,64.375,74.625,75.94444444,75,71.28571429,73.77777778,71.26086957,77.76923077,73.4,64.5,78.7,76.625,77.25925926,75.14285714,74.76923077,71.5,81.5,81.72,0,2.5,32171.36364,35116.72727
SAN,REA,2008/2009,3,9/21/08 0:00,0,2,74.44444444,72,74.11764706,72.82758621,65.82608696,73.63157895,76.1,72.59090909,70.90909091,63.85714286,71.59259259,86.95454545,85.78947368,83.52941176,85.16666667,77.33333333,82.5,77.93333333,0,83.44444444,82.5,80.7,1,2.5,34217.45455,
ALM,MAL,2008/2009,3,9/21/08 0:00,1,0,79.38095238,69.02941176,73.88888889,69.22222222,69.66666667,70,69.96153846,69.75,68.84615385,76.71428571,81.27027027,68.28571429,75.85185185,68.33333333,74.60869565,72.22222222,67.85714286,64.64705882,74.10714286,74,70.375,65.5,2.5,0.25,45878.90909,40498.45455
BIL,VAL,2008/2009,3,9/21/08 0:00,2,0,76.92,77.76666667,74.2,76.1875,73.08695652,77.38461538,81.2,74.91666667,71.26315789,63.88888889,80.61904762,76.82608696,69.38888889,71.28571429,71.22222222,70.2,71.78947368,72.48,66.90909091,71.8,72.5,72.06666667,0.5,1.25,53714.81818,33767.45455
OSA,COR,2008/2009,4,9/24/08 0:00,0,0,74,67.65384615,69.57142857,73.55,76.21212121,73.42857143,75.63636364,77.94444444,71.88235294,74.79310345,71.14285714,76.625,66.62068966,73.10526316,74.77272727,79.66666667,69.15,70.71428571,68.33333333,72.8,79.17647059,67.13333333,0.666666667,0.666666667,29418.45455,42366.90909
VIL,SAN,2008/2009,4,9/24/08 0:00,2,0,81.24,79.47368421,80.13636364,73.80952381,72.19047619,71.78947368,79.76923077,80,83.28205128,80.125,73.4,74.44444444,73.63157895,72,72.82758621,80.93333333,68.69230769,65.82608696,70.90909091,64.5,76.1,73,1.333333333,0.666666667,35729.90909,45230.81818
REA,SPG,2008/2009,4,9/24/08 0:00,7,1,86.95454545,73,83.52941176,85.16666667,79.80952381,0,77.93333333,82,87.84,83.44444444,80.7,69,65.58333333,68.88235294,64.4,70.36,70.83333333,71.29411765,0,65.625,66.08333333,72.68571429,2.333333333,1.666666667,,
BAR,BET,2008/2009,4,9/24/08 0:00,3,2,83.63636364,84.2,79.31914894,76.42857143,79.52631579,87.63636364,85.02702703,78.38461538,92.19230769,83.77777778,88.32,69.91304348,71.18181818,68.11111111,75.88888889,64.375,74.625,71.28571429,75.94444444,75,73.77777778,70.6,2.333333333,0,35634,32171.36364
SEV,ESP,2008/2009,4,9/24/08 0:00,2,0,77.76923077,73.4,75.7,78.7,75,83.20588235,72.36666667,75.14285714,76.9375,81.5,81.72,78.22727273,73.05555556,75.33333333,75.64285714,77.25,66.71428571,64.05,72.89473684,65.55555556,74.125,72.96969697,1.666666667,1,34524.45455,38455.63636
GET,AMA,2008/2009,4,9/24/08 0:00,1,2,69.27777778,70.75,77.65625,73.72222222,68.36,71.36842105,74.8,73,74.51851852,72.82608696,81.43243243,72.94736842,73.18181818,73.78571429,79,73.8,74.125,79.22222222,75.92307692,79.3125,86.11428571,72.15789474,1,3,37800.18182,29735.90909
MAL,NUM,2008/2009,4,9/25/08 0:00,2,0,76.08695652,70.71428571,74.875,72.93103448,68.23076923,71.52941176,68.66666667,76.3,75.08695652,76.08,79.16,71.14285714,66.92307692,0,68.5,69.05555556,67.14285714,66.52941176,67.77272727,66.92,62.0625,74.03846154,0.2,1.666666667,40266,
HUE,BIL,2008/2009,4,9/25/08 0:00,1,1,71.82352941,0,74,71.15789474,64.6,74.18181818,75.83333333,69.36842105,73.25,71.43243243,0,76.92,77.76666667,74.2,76.1875,73.08695652,77.38461538,74.91666667,81.2,71.26315789,63.88888889,80.61904762,0.333333333,1,,53714.81818
VAL,ALM,2008/2009,4,9/25/08 0:00,2,0,76.82608696,72.16129032,71.28571429,69.38888889,70.2,72.48,71.8,72.06666667,70.42857143,72.5,67.58333333,79.38095238,69.02941176,71.1,69.22222222,68,70,69.96153846,69.75,71.86956522,71.15384615,81.27027027,1,2,37261.72727,40531.45455
MAL,VAL,2008/2009,4,9/25/08 0:00,0,2,68.28571429,75.85185185,67.57142857,74.60869565,70.375,69.73076923,64.64705882,75.87096774,74.10714286,73.90625,65.5,72.33333333,77.75,80.73076923,76.16666667,75.5,76.31818182,77.33333333,78.25,83.58823529,0,84.29166667,0.5,1.166666667,41578.36364,
SPG,VIL,2008/2009,5,9/27/08 0:00,0,1,70.85,66.11111111,67.55555556,65.8,70.36,68,70.83333333,67.3,71.1,74.52631579,70.71428571,81.24,70.71428571,0,80.13636364,73.80952381,77.53846154,79.76923077,75.66666667,77.11111111,80.125,73.4,1.5,1.5,47258.81818,
BET,REA,2008/2009,5,9/27/08 0:00,1,2,69.91304348,71.18181818,75.88888889,68.11111111,68.52380952,74.625,75,75.94444444,71.28571429,71.12,70.6,86.95454545,85.78947368,83.52941176,77.33333333,79.80952381,82,77.93333333,0,82.5,80.7,87.84,0.5,3.5,39540.45455,
ESP,BAR,2008/2009,5,9/27/08 0:00,1,2,78.22727273,73.05555556,75.64285714,75.33333333,71.45,70.57142857,68.61111111,72.76,74.125,77.63636364,72.9047619,83.63636364,84.2,85.88888889,83.57142857,79.52631579,87.63636364,81.44,88.32,92.19230769,79.45833333,72.5,0.75,2.5,28212.72727,41109
VAL,COR,2008/2009,5,9/28/08 0:00,4,2,72.33333333,77.75,80.73076923,76.16666667,74.96296296,80.42105263,77.33333333,76.42857143,83.58823529,80.2,84.29166667,76.625,70.6,74.77272727,73.10526316,79.66666667,67.19047619,72.8,66.80769231,76.77272727,79.17647059,74.8,1.285714286,0.5,30326.81818,39827.72727
NUM,OSA,2008/2009,5,9/28/08 0:00,0,0,71.14285714,66.92307692,0,68.5,69.05555556,66.52941176,0,65.5,74.03846154,67.14285714,70.2,74,67.65384615,69.57142857,73.55,75.07692308,67.42307692,75.63636364,77.94444444,71.88235294,74.79310345,67.11111111,1.25,0.5,,31799.72727
SAN,MAL,2008/2009,5,9/28/08 0:00,1,2,74.44444444,72,80.93333333,72.82758621,65.82608696,73.63157895,68.69230769,76.1,70.90909091,71.59259259,73,76.08695652,70.71428571,75.44444444,74.875,68.23076923,71.52941176,76.91304348,71.77777778,76.08,76.3,79.16,0.5,0.428571429,45230.54545,31368.45455
AMA,SEV,2008/2009,5,9/28/08 0:00,0,1,81.16666667,73.18181818,75.76190476,79,71.93333333,77.96875,79,78.37037037,74.125,86.11428571,72.15789474,77.76923077,66.92307692,75.7,64.5,75,72.36666667,75.14285714,83.20588235,74.76923077,76.9375,81.72,2.75,1.75,38063.45455,31712.27273
BIL,GET,2008/2009,5,9/28/08 0:00,0,1,76.92,77.76666667,74.2,76.1875,73.08695652,71.26315789,73.53846154,79.16666667,73.22222222,63.88888889,80.61904762,69.27777778,66.71428571,70.75,73.72222222,68.36,72.82608696,74.8,73,75.25,81.43243243,74.51851852,1,1,47434.72727,37302.72727
ALM,HUE,2008/2009,5,9/28/08 0:00,1,0,79.38095238,69.02941176,73.88888889,69.22222222,69.66666667,73.31818182,69.96153846,63.86666667,68.84615385,76.71428571,81.27027027,71.82352941,0,74,71.15789474,64.6,73.25,75.83333333,69.36842105,68.875,71.92307692,0,1.5,0.5,39852.81818,
MAL,VAL,2008/2009,5,9/28/08 0:00,2,1,68.28571429,75.85185185,67.57142857,74.60869565,70.375,69.73076923,64.64705882,74.10714286,75.87096774,73.90625,65.5,76.82608696,72.16129032,69.38888889,71.22222222,70.2,71.8,71.78947368,72.06666667,75.6,72.5,67.58333333,0.625,1.625,41578.36364,35255.81818
BAR,AMA,2008/2009,6,10/4/08 0:00,6,1,83.63636364,85.88888889,83.57142857,76.42857143,79.52631579,81.44,87.63636364,72.5,92.19230769,83.77777778,88.32,81.16666667,75.76190476,76.67857143,79,71.93333333,77.96875,78.37037037,75.92307692,74.125,86.11428571,72.15789474,2.4,2.2,41280.27273,29952.72727
VIL,BET,2008/2009,6,10/4/08 0:00,2,1,81.24,72.19047619,79.47368421,80.13636364,70.71428571,83.28205128,79.76923077,71.78947368,77.53846154,81.02702703,73.4,69.91304348,71.18181818,68.11111111,75.88888889,64.375,74.625,71.28571429,71.12,75,73.77777778,70.6,1.4,0.6,34983.18182,32066.27273
REA,ESP,2008/2009,6,10/5/08 0:00,2,2,86.95454545,85.78947368,83.52941176,85.16666667,77.33333333,83.44444444,0,77.93333333,82,82.5,80.7,78.22727273,73.05555556,75.33333333,75.64285714,64,68.61111111,70.57142857,74.125,79.5,77.63636364,72.9047619,3.2,0.8,,30826.27273
COR,NUM,2008/2009,6,10/5/08 0:00,1,0,76.625,70.51851852,74.77272727,75.38888889,79.66666667,72.8,69.15,66.80769231,75.28,79.17647059,70.87096774,71.14285714,66.92307692,0,68.5,69.05555556,66.52941176,65.5,0,74.03846154,67.14285714,70.2,0.8,1,35551.63636,
OSA,SAN,2008/2009,6,10/5/08 0:00,0,1,74,75.07692308,69.57142857,73.55,68.89285714,73.42857143,75.63636364,77.94444444,71.88235294,74.79310345,67.11111111,74.44444444,72,80.93333333,72.82758621,74.11764706,73.63157895,72.28571429,72.59090909,64.5,71.59259259,70.90909091,0.4,0.6,35602.81818,56835.36364
MAL,SPG,2008/2009,6,10/5/08 0:00,0,2,76.08695652,70.71428571,75.44444444,74.875,68.23076923,71.77777778,76.08,71.52941176,76.3,75.08695652,79.16,70.85,66.11111111,67.55555556,65.8,70.36,68,70.83333333,67.3,71.1,74.52631579,70.71428571,0.777777778,1.2,30272.36364,47258.81818
GET,ALM,2008/2009,6,10/5/08 0:00,2,2,69.27777778,70.75,73.72222222,77.65625,68.36,71.36842105,74.8,73,76.83333333,72.82608696,74.51851852,79.38095238,69.02941176,73.88888889,69.22222222,69.66666667,70,69.96153846,69.75,68.84615385,76.71428571,81.27027027,1,1.4,38134.90909,45878.90909
VAL,VAL,2008/2009,6,10/5/08 0:00,0,1,76.82608696,72.16129032,69.38888889,71.28571429,70.2,71.8,72.48,77.44444444,70.42857143,72.5,67.58333333,72.33333333,77.75,0,76.16666667,74.96296296,80.42105263,77.33333333,78.25,83.58823529,0,84.29166667,1.555555556,1.555555556,38927.63636,
SEV,BIL,2008/2009,6,10/5/08 0:00,4,0,77.76923077,74.93548387,75.7,78.7,75,72.36666667,74.76923077,83.20588235,75.75,76.9375,81.5,76.92,77.76666667,74.2,76.1875,73.08695652,71.26315789,81.2,73.53846154,73.22222222,79.16666667,80.61904762,1.6,0.8,31162.27273,42052
HUE,MAL,2008/2009,6,10/5/08 0:00,0,4,71.82352941,67.89655172,74,71.15789474,64.6,74.18181818,75.83333333,68.875,0,71.92307692,71.43243243,68.28571429,75.85185185,67.57142857,74.60869565,70.375,70.77777778,67.85714286,73.90625,65.5,74.10714286,75.87096774,0.4,0.7,,36596.72727
AMA,REA,2008/2009,7,10/18/08 0:00,1,2,72.94736842,75.76190476,76.67857143,79,73.8,79.22222222,75.92307692,78.37037037,79,86.11428571,81.63636364,86.95454545,85.78947368,83.52941176,85.16666667,79.80952381,0,77.04545455,84.75,83.44444444,82.5,80.7,2,3,36745.27273,
